Frame Number, VoiceEnergy, AmbientEnergy, VADFlag, CurrentFrameEnergy
1, 131, 0, 0, 6553
2, 391, 0, 0, 13775
3, 545, 0, 0, 9958
4, 663, 0, 0, 9058
5, 784, 0, 0, 9911
6, 841, 0, 0, 7456
7, 1039, 0, 0, 14825
8, 1069, 0, 0, 7579
9, 1091, 0, 0, 7373
10, 1113, 0, 0, 7449
11, 1139, 0, 0, 7807
12, 1206, 89, 0, 10018
13, 1240, 178, 0, 8760
14, 1302, 270, 0, 10379
15, 1298, 387, 0, 7420
16, 1314, 488, 0, 8436
17, 1403, 607, 0, 12129
18, 1417, 689, 0, 8904
19, 1490, 782, 0, 11980
20, 1463, 919, 0, 7378
21, 1460, 1015, 0, 8413
22, 1501, 1147, 0, 10604
23, 1609, 1222, 0, 14205
24, 1598, 1309, 0, 8882
25, 1627, 1421, 0, 10804
26, 1666, 1575, 0, 11512
27, 1712, 1663, 0, 12093
28, 1742, 1773, 0, 11536
29, 1696, 1890, 0, 7942
30, 1649, 2013, 0, 7590
31, 1723, 2128, 0, 13362
32, 1717, 2198, 0, 9822
33, 1685, 2263, 0, 8490
34, 1681, 2397, 0, 9670
35, 1671, 2487, 0, 9353
36, 1639, 2559, 0, 8217
37, 1579, 2645, 0, 6640
38, 1567, 2726, 0, 8664
39, 1578, 2792, 0, 9760
40, 1561, 2839, 0, 8435
41, 1582, 2909, 0, 10221
42, 1629, 2992, 0, 11624
43, 1644, 3058, 0, 10333
44, 1634, 3144, 0, 9128
45, 1604, 3246, 0, 8097
46, 1694, 3331, 0, 13848
47, 1668, 3401, 0, 8625
48, 1661, 3458, 0, 9471
49, 1611, 3583, 0, 7236
50, 1629, 3644, 0, 10396
51, 1701, 3714, 0, 13188
52, 1736, 3757, 0, 11724
53, 1816, 3837, 0, 14179
54, 1778, 3950, 0, 8705
55, 1803, 4044, 0, 11715
56, 1809, 4166, 0, 10889
57, 1799, 4221, 0, 10105
58, 1735, 4311, 0, 7386
59, 1744, 4390, 0, 10631
60, 1729, 4459, 0, 9469
61, 1730, 4495, 0, 10219
62, 1818, 4569, 0, 14561
63, 1926, 4628, 0, 16084
64, 1884, 4696, 0, 9157
65, 1865, 4815, 0, 10060
66, 1853, 4951, 0, 10330
67, 1775, 5002, 0, 6978
68, 1710, 5063, 0, 7120
69, 1696, 5127, 0, 9334
70, 1670, 5150, 0, 8613
71, 1780, 5174, 0, 15336
72, 1745, 5224, 0, 8717
73, 1775, 5265, 0, 11735
74, 1781, 5386, 0, 10671
75, 1728, 5426, 0, 7799
76, 1686, 5502, 0, 8073
77, 1662, 5564, 0, 8655
78, 1655, 5591, 0, 9371
79, 1710, 5621, 0, 12443
80, 1739, 5658, 0, 11466
81, 1734, 5703, 0, 9979
82, 1729, 5784, 0, 9942
83, 1689, 5853, 0, 8176
84, 1625, 5903, 0, 6704
85, 1586, 5952, 0, 7553
86, 1555, 5979, 0, 7738
87, 1518, 5988, 0, 7260
88, 1502, 6007, 0, 8123
89, 1514, 6028, 0, 9416
90, 1521, 6043, 0, 9203
91, 1551, 6068, 0, 10443
92, 1629, 6109, 0, 12949
93, 1638, 6147, 0, 10007
94, 1583, 6199, 0, 6871
95, 1560, 6280, 0, 8136
96, 1545, 6325, 0, 8441
97, 1546, 6332, 0, 9084
98, 1500, 6354, 0, 6706
99, 1502, 6380, 0, 8915
100, 1516, 6413, 0, 9504
101, 1541, 6417, 0, 10172
102, 1601, 6447, 0, 12015
103, 1645, 6484, 0, 11578
104, 1590, 6529, 0, 6859
105, 1674, 6595, 0, 13518
106, 1672, 6655, 0, 9719
107, 1694, 6658, 0, 10906
108, 1745, 6741, 0, 12480
109, 1736, 6777, 0, 9768
110, 1716, 6827, 0, 9177
111, 1641, 6895, 0, 6251
112, 1687, 6930, 0, 11927
113, 1721, 6957, 0, 11630
114, 1661, 6949, 0, 7123
115, 1613, 7009, 0, 7345
116, 1594, 7065, 0, 8542
117, 1625, 7066, 0, 10871
118, 1800, 7070, 0, 18261
119, 1741, 7088, 0, 7626
120, 1688, 7134, 0, 7573
121, 1740, 7268, 0, 12536
122, 1654, 7273, 0, 5915
123, 1649, 7277, 0, 9423
124, 1636, 7341, 0, 9034
125, 1722, 7324, 0, 13879
126, 1698, 7350, 0, 8906
127, 1621, 7371, 0, 6139
128, 1540, 7450, 0, 5491
129, 1572, 7468, 0, 10622
130, 1532, 7453, 0, 7201
131, 1626, 7430, 0, 13649
132, 1591, 7469, 0, 7759
133, 1536, 7466, 0, 6550
134, 1514, 7541, 0, 7940
135, 1516, 7544, 0, 8961
136, 1608, 7533, 0, 13533
137, 1633, 7538, 0, 10653
138, 1619, 7556, 0, 8864
139, 1615, 7628, 0, 9346
140, 1545, 7665, 0, 5985
141, 1558, 7680, 0, 9682
142, 1633, 7700, 0, 12928
143, 1713, 7680, 0, 13570
144, 1783, 7705, 0, 13546
145, 1828, 7768, 0, 12713
146, 1759, 7838, 0, 7296
147, 1709, 7907, 0, 7820
148, 1687, 7965, 0, 8936
149, 1638, 7957, 0, 7461
150, 1657, 7956, 0, 10572
151, 1694, 7968, 0, 11569
152, 1628, 7962, 0, 6601
153, 1631, 7994, 0, 9708
154, 1604, 8037, 0, 8201
155, 1604, 8020, 0, 9351
156, 1618, 8041, 0, 10080
157, 1617, 8043, 0, 9491
158, 1621, 8059, 0, 9719
159, 1664, 8084, 0, 11675
160, 1676, 8101, 0, 10337
161, 1671, 8121, 0, 9572
162, 1698, 8164, 0, 11183
163, 1703, 8191, 0, 10200
164, 1654, 8208, 0, 7518
165, 1644, 8244, 0, 9156
166, 1606, 8268, 0, 7742
167, 1621, 8260, 0, 10147
168, 1636, 8271, 0, 10272
169, 1626, 8265, 0, 9060
170, 1644, 8288, 0, 10400
171, 1628, 8312, 0, 8812
172, 1623, 8321, 0, 9316
173, 1737, 8346, 0, 15240
174, 1796, 8352, 0, 13191
175, 1857, 8364, 0, 13549
176, 1924, 8447, 0, 14243
177, 1905, 8504, 0, 10334
178, 1983, 8565, 0, 15093
179, 1889, 8634, 0, 6922
180, 1814, 8655, 0, 7390
181, 1758, 8733, 0, 7809
182, 1731, 8712, 0, 8952
183, 1730, 8697, 0, 10109
184, 1675, 8687, 0, 7436
185, 1612, 8691, 0, 6690
186, 1602, 8709, 0, 8971
187, 1575, 8694, 0, 8039
188, 1542, 8670, 0, 7590
189, 1521, 8674, 0, 7990
190, 1506, 8667, 0, 8174
191, 1541, 8655, 0, 10615
192, 1571, 8648, 0, 10524
193, 1587, 8643, 0, 10027
194, 1591, 8667, 0, 9535
195, 1580, 8690, 0, 8774
196, 1586, 8707, 0, 9565
197, 1557, 8717, 0, 7838
198, 1649, 8718, 0, 13794
199, 1661, 8729, 0, 10263
200, 1734, 8719, 0, 13387
201, 1751, 8780, 0, 11017
202, 1741, 8798, 0, 9749
203, 1710, 8854, 0, 8670
204, 1689, 8880, 0, 8981
205, 1712, 8891, 0, 11065
206, 1757, 8889, 0, 12255
207, 1787, 8891, 0, 11832
208, 1806, 8918, 0, 11448
209, 1707, 8959, 0, 5613
210, 1666, 8994, 0, 7974
211, 1630, 9024, 0, 7953
212, 1593, 8984, 0, 7739
213, 1566, 8972, 0, 7974
214, 1592, 8960, 0, 10450
215, 1639, 8946, 0, 11670
216, 1678, 8935, 0, 11586
217, 1662, 8954, 0, 9067
218, 1649, 8987, 0, 9083
219, 1643, 9019, 0, 9389
220, 1652, 9020, 0, 10074
221, 1641, 9021, 0, 9106
222, 1641, 9026, 0, 9614
223, 1683, 9039, 0, 11700
224, 1975, 9040, 0, 24493
225, 2734, 9047, 0, 49534
226, 2983, 9079, 0, 28514
227, 2959, 9264, 0, 16307
228, 2934, 9747, 0, 16115
229, 2847, 9973, 0, 12894
230, 2873, 10049, 0, 18037
231, 2743, 10122, 0, 10379
232, 2758, 10156, 0, 16857
233, 2897, 10251, 0, 23136
234, 2737, 10253, 0, 9013
235, 2913, 10333, 0, 24893
236, 3211, 10487, 0, 32042
237, 3151, 10470, 0, 15799
238, 3130, 10643, 0, 17403
239, 2990, 10900, 0, 11364
240, 2950, 10959, 0, 15500
241, 3658, 11037, 0, 52733
242, 3805, 11041, 0, 28810
243, 3935, 11095, 0, 28849
244, 4030, 11595, 0, 27835
245, 4343, 11802, 0, 39318
246, 4441, 12007, 0, 30396
247, 5547, 12197, 0, 81348
248, 5807, 12523, 0, 45588
249, 6357, 12738, 0, 61599
250, 6464, 13561, 0, 42702
251, 6778, 13946, 0, 53640
252, 7689, 14518, 0, 85407
253, 7603, 14857, 0, 40850
254, 7520, 15323, 0, 40518
255, 7519, 16164, 0, 44180
256, 7536, 16461, 0, 45016
257, 7564, 16750, 0, 45656
258, 7892, 17079, 0, 60876
259, 7393, 17415, 0, 21467
260, 7493, 17754, 0, 48451
261, 7494, 18272, 0, 44056
262, 7175, 18311, 0, 28073
263, 9171, 18673, 0, 141958
264, 14153, 18673, 1, 302960
265, 14153, 18673, 0, 100540
266, 14153, 18673, 0, 82903
267, 14153, 18673, 0, 109747
