Frame Number, VoiceEnergy, AmbientEnergy, VADFlag, CurrentFrameEnergy
1, 40964, 0, 0, 4098653
2, 70376, 0, 0, 3185899
3, 125754, 0, 0, 5958452
4, 157857, 0, 0, 3958266
5, 192199, 0, 0, 4372800
6, 214622, 0, 0, 3383933
7, 240062, 0, 0, 3818896
8, 266362, 0, 0, 4055805
9, 275840, 0, 0, 2528769
10, 303354, 0, 0, 4389589
11, 315314, 0, 0, 2996484
12, 332821, 0, 0, 3622573
13, 353092, 0, 0, 4002983
14, 370678, 0, 0, 3854608
15, 406294, 0, 0, 5762936
16, 422105, 0, 0, 3992626
17, 435105, 0, 0, 3805167
18, 444416, 0, 0, 3513326
19, 466382, 0, 0, 4834665
20, 478662, 0, 0, 3995995
21, 482407, 0, 0, 3214710
22, 486719, 0, 0, 3293758
23, 506032, 0, 0, 4820247
24, 519433, 0, 0, 4343201
25, 532981, 0, 0, 4437499
26, 552316, 21069, 0, 5096851
27, 570694, 49935, 0, 5115815
28, 583491, 73599, 0, 4666518
29, 587934, 92436, 0, 3906644
30, 601069, 111634, 0, 4802635
31, 586877, 139871, 0, 2146386
32, 614519, 165078, 0, 6247930
33, 618201, 190699, 0, 4014444
34, 634152, 220120, 0, 5263953
35, 629287, 249479, 0, 3275819
36, 623876, 275967, 0, 3192360
37, 630929, 297740, 0, 4407286
38, 635580, 324755, 0, 4208885
39, 648445, 335679, 0, 5058222
40, 649522, 371134, 0, 3955224
41, 650682, 392982, 0, 3969895
42, 651750, 422192, 0, 3967668
43, 661998, 439305, 0, 4892388
44, 672761, 455815, 0, 5004669
45, 669369, 479511, 0, 3652341
46, 677941, 501875, 0, 4829233
47, 687473, 529199, 0, 4976202
48, 684316, 549744, 0, 3763156
49, 683556, 570254, 0, 3984244
50, 673018, 590628, 0, 3001373
51, 666413, 616425, 0, 3332410
52, 687629, 642741, 0, 6076781
53, 678909, 660789, 0, 3207482
54, 684908, 685786, 0, 4628415
55, 686142, 711515, 0, 4187259
56, 680986, 729815, 0, 3555352
57, 682231, 749331, 0, 4165094
58, 693486, 762836, 0, 5173970
59, 698863, 778245, 0, 4652571
60, 706387, 810019, 0, 4899374
61, 736449, 824396, 0, 7199058
62, 731183, 847208, 0, 3842677
63, 724754, 867238, 0, 3695087
64, 716676, 883358, 0, 3491951
65, 716954, 903038, 0, 4280056
66, 721966, 928650, 0, 4755321
67, 729675, 950982, 0, 5055073
68, 730174, 974660, 0, 4379333
69, 731902, 1011986, 0, 4505307
70, 743590, 1028961, 0, 5512031
71, 748165, 1044949, 0, 4869774
72, 750115, 1059623, 0, 4634293
73, 760162, 1078935, 0, 5455948
74, 765756, 1100982, 0, 5070070
75, 768663, 1124694, 0, 4834426
76, 767293, 1144212, 0, 4423723
77, 776240, 1164368, 0, 5447708
78, 775347, 1190440, 0, 4516373
79, 766944, 1212504, 0, 3759592
80, 767387, 1233024, 0, 4594878
81, 767352, 1258348, 0, 4549684
82, 768436, 1281206, 0, 4661443
83, 777172, 1302514, 0, 5433440
84, 784547, 1321231, 0, 5349106
85, 785420, 1345977, 0, 4742401
86, 783468, 1364989, 0, 4464755
87, 769507, 1379349, 0, 3251720
88, 763015, 1398632, 0, 3916247
89, 763027, 1417528, 0, 4528398
90, 766729, 1436981, 0, 4897763
91, 750703, 1460947, 0, 2945770
92, 762119, 1484264, 0, 5596403
93, 756202, 1503803, 0, 3929953
94, 747972, 1521559, 0, 3663318
95, 738064, 1531935, 0, 3446611
96, 742932, 1546234, 0, 4866348
97, 737189, 1564118, 0, 3833424
98, 748080, 1584109, 0, 5463613
99, 749415, 1592275, 0, 4572166
100, 746644, 1616287, 0, 4169246
101, 753887, 1630162, 0, 5154748
102, 744650, 1642355, 0, 3548885
103, 735355, 1653175, 0, 3488225
104, 744500, 1672444, 0, 5278165
105, 744824, 1685403, 0, 4449840
106, 749873, 1708060, 0, 4924411
107, 736889, 1725236, 0, 3150151
108, 726082, 1739893, 0, 3290909
109, 727572, 1760371, 0, 4457171
110, 735047, 1771097, 0, 5064853
111, 747007, 1781395, 0, 5557881
112, 739593, 1802365, 0, 3690431
113, 737132, 1818242, 0, 4142050
114, 750145, 1836869, 0, 5675673
115, 743426, 1844745, 0, 3778484
116, 741945, 1853418, 0, 4262885
117, 754744, 1869032, 0, 5682859
118, 767036, 1888197, 0, 5707984
119, 767367, 1910204, 0, 4584216
120, 761520, 1920880, 0, 3967982
121, 758869, 1934200, 0, 4253094
122, 761328, 1956637, 0, 4748617
123, 759307, 1967563, 0, 4315044
124, 750200, 1981328, 0, 3594004
125, 750810, 2003525, 0, 4512254
126, 755877, 2025740, 0, 4961767
127, 756661, 2041083, 0, 4563352
128, 766363, 2052639, 0, 5460275
129, 751371, 2065835, 0, 3047070
130, 750484, 2081923, 0, 4369319
131, 767490, 2095315, 0, 6154435
132, 758582, 2104303, 0, 3662432
133, 768523, 2118743, 0, 5495524
134, 767127, 2135792, 0, 4420238
135, 776250, 2150350, 0, 5464480
136, 784766, 2170199, 0, 5457700
137, 780637, 2175458, 0, 4243191
138, 776772, 2188614, 0, 4245061
139, 771259, 2212396, 0, 4057135
140, 762923, 2221092, 0, 3742126
141, 756128, 2240728, 0, 3846908
142, 752564, 2253798, 0, 4129731
143, 747009, 2273052, 0, 3909410
144, 740658, 2292150, 0, 3796794
145, 738338, 2303850, 0, 4162458
146, 737409, 2315491, 0, 4287773
147, 742968, 2325936, 0, 4931474
148, 740462, 2334429, 0, 4157537
